NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Bazaar Cafe,400,Cafe,Agra,Sikandra,Café,Average,3.4,7
Royals Cafe Corner Restaurant,700,"Cafe,North Indian,Chinese,Continental",Agra,Tajganj,Café,Average,3.2,22
Choki Dhani - Rajasthani Bhojnalya,200,"Rajasthani,North Indian",Agra,Sikandra,Quick Bites,Average,3.1,8
Ravi Fast Food,200,Fast Food,Agra,Civil Lines,Quick Bites,Good,3.6,21
Food Factory,100,Fast Food,Agra,Sikandra,Quick Bites,None,NEW,NEW
Biryani Point,150,Biryani,Agra,Shahganj,Quick Bites,None,NEW,NEW
Freshop,200,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4,12
Ceezak Food Corner,350,"Chinese,Fast Food",Agra,Arjun Nagar,Quick Bites,Average,3.3,17
China Town,200,Fast Food,Agra,Shahganj,Quick Bites,Average,3.3,8
New Chetna Store Patties Hub,100,Fast Food,Agra,Civil Lines,Quick Bites,Average,3.4,16
Burgero,400,"Burger,Fast Food",Agra,Shahganj,Quick Bites,Average,2.8,18
Sri Balaji Restaurant,500,"South Indian,North Indian,Beverages",Agra,Tajganj,Casual Dining,Average,3.4,14
Freaky Burger,200,Burger,Agra,Rakabganj,Quick Bites,Average,3.1,9
Sanjay Food Corner,100,North Indian,Agra,Sikandra,Quick Bites,Average,3.2,6
Punjabi Tadka,100,"Fast Food,North Indian",Agra,Sikandra,Quick Bites,Average,3.3,8
Thug Truck,150,"Fast Food,Chinese",Agra,Khandari,Food Truck,Average,3.4,13
Shri Radhay Chaat Bhandar,150,Fast Food,Agra,Kamla Nagar,none,Average,3.4,11
the bollywood fries,200,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2,5
Wow Vada Pav,200,"Street Food,Wraps,Burger",Agra,Sikandra,Quick Bites,Average,3.3,4
Sprinkle Bakery And Fast Food,200,"Bakery,Fast Food",Agra,Sikandra,Bakery,None,NEW,NEW
Speise Restaurant,500,"Biryani,Chinese,Mughlai,Indian",Agra,Tajganj,Casual Dining,Average,3.3,9
Sagra,200,Fast Food,Agra,Agra Cantt,Quick Bites,Average,3.4,13
Dr Cake And Confectionery,150,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3,9
Isha Food Plaza,150,"Fast Food,Bakery",Agra,Dayal Bagh,Quick Bites,Average,3.3,9
Taste And Food,150,North Indian,Agra,Sikandra,Quick Bites,Not rated,-,-
Food Paradise,200,"Bakery,Desserts",Agra,Sikandra,Bakery,Average,3.1,4
Club 2100,300,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.3,12
FCB Fast Food Corner,300,Fast Food,Agra,Tajganj,Quick Bites,Average,3.2,9
Habova's BL Food Plaza,350,"Chinese,Indian,North Indian",Agra,Sikandra,Quick Bites,Average,3.2,14
Rola Wala,400,"Rolls,Chinese,Momos",Agra,Khandari,Quick Bites,Good,3.6,96
Amartsari Naan Thali,200,North Indian,Agra,Civil Lines,Quick Bites,Average,3.0,6
Chinu Restaurant,400,North Indian,Agra,Kamla Nagar,Casual Dining,Average,3.1,6
Riya dairy & fast food,100,Fast Food,Agra,Dayal Bagh,Quick Bites,Average,3.3,12
Tasty Bite Restaurant,800,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Average,2.9,5
Indo American Foods,150,"Fast Food,Italian",Agra,Dayal Bagh,Quick Bites,Average,3.3,13
JMB Bakery,350,"Bakery,Fast Food",Agra,Sikandra,Quick Bites,Average,3.1,13
Pracheen Petha,0,Desserts,Agra,Civil Lines,Sweet Shop,None,NEW,NEW
Anokhe Paratha,150,North Indian,Agra,Tajganj,Quick Bites,Average,3.3,10
Yadav Dhaba Purana,300,North Indian,Agra,Civil Lines,Dhaba,Good,3.9,225
Mocha,1500,"Cafe,Italian,Chinese,Continental,North Indian",Agra,Tajganj,Café,Very Good,4.3,441
Jahanpanah,850,"North Indian,Mughlai",Agra,Agra Cantt,Casual Dining,Good,3.9,270
Subway,500,"Healthy Food,Sandwich,Salad",Agra,Khandari,Quick Bites,Very Good,4.1,253
Papa Ji Da Dhaba,250,North Indian,Agra,Civil Lines,Dhaba,Very Good,4.0,341
Pind Balluchi,1000,"North Indian,Mughlai",Agra,Tajganj,Casual Dining,Very Good,4.2,494
Chapter 1 Cafe,1000,"Cafe,Italian,Mexican,North Indian,Continental",Agra,Tajganj,Café,Very Good,4.2,263
Sugar N Thyme,1000,"Cafe,Chinese,Thai,Continental,Italian,Bakery,Desserts",Agra,Tajganj,Café,Very Good,4.3,261
Amritsari Kulcha Junction,600,North Indian,Agra,Civil Lines,Quick Bites,Very Good,4.1,321
G Thal,900,"Rajasthani,Gujarati,Mughlai",Agra,Khandari,Casual Dining,Good,3.7,240
D'Delicia,1600,"North Indian,Chinese,Mexican,Italian",Agra,Tajganj,Fine Dining,Excellent,4.6,224
Jain Restaurant,500,North Indian,Agra,Shahganj,Quick Bites,Very Good,4.2,262
Bhadawar Hotel,200,North Indian,Agra,Mantola,Quick Bites,Very Good,4.0,138
Thaaliwala,700,"North Indian,Fast Food",Agra,Tajganj,Casual Dining,Very Good,4.0,316
The Forest,800,Indian,Agra,Sikandra,Casual Dining,Good,3.7,250
Burger Panda,250,"Burger,Fast Food",Agra,Shahganj,Quick Bites,Good,3.9,82
Apollo Foods,400,Bakery,Agra,Civil Lines,Quick Bites,Average,3.1,4
Dear Shoppy,200,Fast Food,Agra,Khandari,Quick Bites,Average,3.3,8
Shri Mahaveer Bakery And Confectionery,150,"Desserts,Bakery",Agra,Sikandra,Bakery,Average,3.1,4
Mr. Food,200,Fast Food,Agra,Shahganj,Quick Bites,None,NEW,NEW
Chai Dose,100,Tea,Agra,Dayal Bagh,none,None,NEW,NEW
Sukoon Restaurant,850,"North Indian,Desserts,Chinese,Biryani",Agra,Tajganj,Casual Dining,Not rated,-,-
Agarwal Sweet House,300,Mithai,Agra,Khandari,Sweet Shop,Not rated,-,-
Foodie Bites,250,"North Indian,Fast Food",Agra,Sikandra,none,Average,3.1,6
S.R Restaurant & Fast food,500,"North Indian,Fast Food",Agra,Tajganj,Casual Dining,Average,2.9,7
Gravy Spicy Tasty,400,North Indian,Agra,Sikandra,none,Average,3.2,11
Lick N Bite Bakers,300,Bakery,Agra,Sikandra,Bakery,Average,2.9,6
K.K Juice House,150,Juices,Agra,Lohamandi,Beverage Shop,None,NEW,NEW
Munna Lal Sweets,150,Mithai,Agra,Mantola,Sweet Shop,None,NEW,NEW
Grilled And Chilled Cafe,100,Fast Food,Agra,Sikandra,none,Not rated,-,-
Prince Bakers,250,"Bakery,Fast Food",Agra,Civil Lines,Bakery,Average,3.2,10
New Agarwal Sweet,250,"Mithai,Street Food",Agra,Shahganj,Sweet Shop,None,NEW,NEW
Cakeshh,800,Bakery,Agra,Dayal Bagh,Bakery,Average,3.2,6
K.D Bakers,200,Bakery,Agra,Sikandra,Dessert Parlor,Average,3.0,4
Indian Spice,450,"North Indian,South Indian,Chinese",Agra,Sikandra,Casual Dining,Average,2.8,9
Shivam Restaurant,250,"North Indian,Chinese,Fast Food",Agra,Tajganj,Quick Bites,Average,3.1,4
Vintage House,900,"North Indian,Continental",Agra,Tajganj,Casual Dining,Very Good,4.1,27
Rajmahal Restaurant,1000,"North Indian,Chinese",Agra,Tajganj,Casual Dining,Average,2.8,7
Naturelo,400,"Ice Cream,Desserts,Beverages",Agra,Civil Lines,Dessert Parlor,Very Good,4.0,50
Maruti Restaurant,700,"North Indian,South Indian,Chinese",Agra,Khandari,Casual Dining,Average,3.2,7
Maharaja Agrasen Confectionery,200,Bakery,Agra,Sikandra,Bakery,Not rated,-,-
Shubhansh Eat And Treat Point,200,Fast Food,Agra,Sikandra,Quick Bites,Not rated,-,-
Ram Shyam Pan Bhandar,100,Paan,Agra,Kamla Nagar,Paan Shop,None,NEW,NEW
Unique Foodz & Bakez,300,Fast Food,Agra,Kamla Nagar,Quick Bites,Average,3.2,5
Shri Jagdamba Bakers,200,"Fast Food,Bakery",Agra,Kamla Nagar,Bakery,Average,3.2,7
Agarsen Sweets,400,Mithai,Agra,Civil Lines,Sweet Shop,Average,3.2,5
Indo Italian Street,200,Street Food,Agra,Kamla Nagar,Quick Bites,Average,3.3,8
Jain Food Court,300,North Indian,Agra,Khandari,Quick Bites,Average,3.1,4
Cake Room,100,Bakery,Agra,Tajganj,Bakery,None,NEW,NEW
Imran Hot Roll Centre,100,Rolls,Agra,Shahganj,Kiosk,Average,3.2,8
Veg Express,300,North Indian,Agra,Civil Lines,none,Average,3.1,5
Hotel  Neelkanth,300,North Indian,Agra,Civil Lines,Quick Bites,Not rated,-,-
Govind Ji Sweets,200,"Mithai,Street Food",Agra,Sikandra,Sweet Shop,None,NEW,NEW
Top'n'treat,150,Fast Food,Agra,Khandari,Quick Bites,Average,3.1,4
Brothers Bistro,500,Cafe,Agra,Kamla Nagar,Café,Good,3.5,55
The Golden Grilled,400,"North Indian,Fast Food",Agra,Khandari,Casual Dining,Average,3.2,5
