NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
BrewBakes,500,Cafe,Allahabad,Civil Lines,Café,Good,3.8,91
Chicago Pizza,400,"Pizza,Beverages",Allahabad,Civil Lines,Quick Bites,Very Good,4.1,334
Shree Kanha Sweets & Restaurant,500,"Mithai,North Indian,Street Food",Allahabad,George Town,Quick Bites,Very Good,4.2,75
Black Out Restaurant,500,North Indian,Allahabad,Katra,Casual Dining,Very Good,4.0,138
Eat On,200,North Indian,Allahabad,Civil Lines,Quick Bites,Excellent,4.9,2221
Raju Kitchen Restaurant,400,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Good,3.9,163
Subway,500,"Healthy Food,Salad,Fast Food",Allahabad,Civil Lines,Quick Bites,Very Good,4.0,179
Kamdhenu,400,Mithai,Allahabad,Civil Lines,Sweet Shop,Very Good,4.2,149
Chhappan Bhog,600,"North Indian,South Indian,Chinese",Allahabad,Katra,Casual Dining,Good,3.6,118
Hotel Ravisha Continental,600,"North Indian,South Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Very Good,4.0,70
Hot n Cool,450,"Desserts,Fast Food,Ice Cream",Allahabad,Colonel Ganj,Dessert Parlor,Very Good,4.3,242
El Chico Restaurant,800,"Continental,North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Very Good,4.3,507
Baba Biryani,500,"Biryani,Mughlai",Allahabad,Civil Lines,Casual Dining,Average,2.6,161
Celebrations,600,"North Indian,Chinese,Continental",Allahabad,Civil Lines,Casual Dining,Good,3.8,149
Paradise,500,"Desserts,Fast Food",Allahabad,Civil Lines,Dessert Parlor,Very Good,4.4,208
Khana Khazana Restaurant -Hotel Grand Continental,1250,North Indian,Allahabad,Civil Lines,Fine Dining,Average,3.2,20
Tamboora,600,"North Indian,Chinese",Allahabad,Civil Lines,Casual Dining,Average,3.1,23
Art Of Spices,600,"North Indian,South Indian,Chinese,Continental",Allahabad,Civil Lines,Quick Bites,Average,3.1,6
Mughlai Food,200,Mughlai,Allahabad,Katra,Quick Bites,Average,3.2,9
