_NAME_,_PRICE_,_CUSINE_CATEGORY_,_CITY_,_REGION_,_URL_,_PAGE_NO_,_CUSINE_TYPE_,_TIMING_,_RATING_TYPE_,_RATING_,_VOTES_
"""Pizza Bakes & Shakes""","""300""","""Fast Food,Pizza""","""Chandigarh""","""Manimajra""","""https://www.zomato.com/chandigarh/pizza-bakes-shakes-manimajra/info""","""102""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""33"""
"""Falooda House""","""400""","""Desserts,Beverages,Juices""","""Chandigarh""","""Elante Mall-- Chandigarh Industrial Area""","""https://www.zomato.com/chandigarh/falooda-house-chandigarh-industrial-area/info""","""102""","""Dessert Parlor""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""31"""
"""Chana Bhatura King""","""250""","""North Indian""","""Chandigarh""","""Sector 21-- Chandigarh""","""https://www.zomato.com/chandigarh/chana-bhatura-king-sector-21/info""","""102""","""Casual Dining""","""12noon to 4pm,5pm to 8pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Love Spicy""","""400""","""North Indian,Fast Food,Chinese""","""Chandigarh""","""Sector 19-- Panchkula""","""https://www.zomato.com/chandigarh/love-spicy-sector-19-panchkula/info""","""102""","""Quick Bites""","""9am to 1130pm(Mon-Wed),9am to 11pm(Thu),11am...""","""Average""","""3.2""","""13"""
"""Khana Khazana Tadka""","""500""","""North Indian,Chinese,Fast Food,Sandwich,Burger""","""Chandigarh""","""Sector 11-- Panchkula""","""https://www.zomato.com/chandigarh/khana-khazana-tadka-sector-11-panchkula/info""","""102""","""none""","""10am to 11pm(Mon-Sun)""","""Average""","""3.2""","""23"""
"""The Ugly Puff""","""250""","""Fast Food,Beverages""","""Chandigarh""","""Sector 5-- Panchkula""","""https://www.zomato.com/chandigarh/the-ugly-puff-sector-5-panchkula/info""","""102""","""none""","""11am to 11pm(Mon-Sun)""","""None""","""NEW""","""NEW"""
"""Aaao Ji Khao Ji Dhabha""","""200""","""North Indian""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/aaao-ji-khao-ji-dhabha-kharar-road-mohali/info""","""102""","""Dhaba""","""8am to 11pm(Mon-Sun)""","""Average""","""2.8""","""63"""
"""Raj Chinese Fast Food""","""200""","""Chinese,Momos""","""Chandigarh""","""Sector 23-- Chandigarh""","""https://www.zomato.com/chandigarh/raj-chinese-fast-food-sector-23/info""","""103""","""Quick Bites""","""12noon to 11pm(Mon-Sun)""","""Average""","""2.7""","""60"""
"""Kohinoor Dhaba""","""300""","""North Indian""","""Chandigarh""","""Dera Bassi""","""https://www.zomato.com/chandigarh/kohinoor-dhaba-dera-bassi-zirakpur/info""","""103""","""Dhaba""","""6am to 530am(Mon-Sun)""","""Average""","""3.0""","""7"""
"""MK Machhi Kukkad""","""300""","""North Indian""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/mk-machhi-kukkad-kharar-road-mohali/info""","""103""","""Quick Bites""","""11am to 11pm(Mon-Sun)""","""Average""","""3.3""","""9"""
"""Mehboob's Mughlai Corner""","""500""","""North Indian""","""Chandigarh""","""VIP Road""","""https://www.zomato.com/chandigarh/mehboobs-mughlai-corner-vip-road-zirakpur/info""","""103""","""Quick Bites""","""12noon to 11pm(Mon-Sun)""","""Average""","""2.7""","""37"""
"""Shama Dhaba""","""400""","""Biryani""","""Chandigarh""","""Kharar Road""","""https://www.zomato.com/chandigarh/shama-dhaba-1-kharar-road-mohali/info""","""103""","""Quick Bites""","""10am to 11pm(Mon-Sun)""","""Not rated""","""-""","""-"""
"""Golden Bakery""","""100""","""Bakery,Fast Food""","""Chandigarh""","""Sector 37-- Chandigarh""","""https://www.zomato.com/chandigarh/golden-bakery-sector-37/info""","""103""","""Bakery""","""10am to 10pm(Mon-Sun)""","""Average""","""2.6""","""41"""
"""Khatana Dairy & Sweets""","""300""","""Mithai,Street Food""","""Chandigarh""","""Phase 9-- Mohali""","""https://www.zomato.com/chandigarh/khatana-dairy-sweets-phase-9-mohali/info""","""103""","""Sweet Shop""","""8am to 9pm(Mon-Sun)""","""Average""","""3.3""","""27"""
"""La Fusion""","""650""","""North Indian,Chinese""","""Chandigarh""","""Sector 11-- Panchkula""","""https://www.zomato.com/chandigarh/la-fusion-sector-11-panchkula/info""","""103""","""Casual Dining""","""10am to 11pm(Mon-Sun)""","""Average""","""2.6""","""101"""
"""Chickenz 70""","""400""","""North Indian,Chinese""","""Chandigarh""","""Sector 70-- Mohali""","""https://www.zomato.com/chandigarh/chickenz-70-sector-70-mohali/info""","""103""","""Quick Bites""","""430pm to 11pm(Mon,Wed,Thu,Fri,Sat,Sun)...""","""Average""","""3.4""","""40"""
"""Shahi Kabab""","""700""","""North Indian,Chinese,Fast Food""","""Chandigarh""","""Sector 44-- Chandigarh""","""https://www.zomato.com/chandigarh/shahi-kabab-sector-44/info""","""103""","""none""","""12noon to 11pm(Mon-Sun)""","""Good""","""3.6""","""64"""
"""Narula Bakery""","""100""","""Bakery,Fast Food,Pizza,Burger,Sandwich""","""Chandigarh""","""Sector 19-- Panchkula""","""https://www.zomato.com/chandigarh/narula-bakery-sector-19-panchkula/info""","""103""","""Bakery""","""9am to 9pm(Mon-Sat),9am to 7pm(Sun)""","""Average""","""3.4""","""41"""
"""Dhillon Food Center & Restaurant""","""500""","""North Indian,Fast Food""","""Chandigarh""","""Ambala Road""","""https://www.zomato.com/chandigarh/dhillon-food-center-restaurant-ambala-road-zirakpur/info""","""103""","""Quick Bites""","""10am to 10pm(Mon-Sun)""","""Average""","""3.3""","""64"""
