NAME,PRICE,CUSINE_CATEGORY,CITY,REGION,CUSINE TYPE,RATING_TYPE,RATING,VOTES
Royal Dine Family Restaurant,400,"Kerala,North Indian,Chinese,Hyderabadi,Arabian",Bengaluru,BTM,Quick Bites,Not rated,-,-
Gusto's Pizza,500,"Pizza,Italian",Bengaluru,Bellandur,Casual Dining,Average,2.9,289
Tasty Magic,600,"Chinese,North Indian",Bengaluru,BTM,Casual Dining,Average,2.7,74
New Food Magic,450,"Andhra,Chinese,North Indian,South Indian",Bengaluru,Electronic City,Casual Dining,Average,3.2,160
Baker's Cafe,200,"Bakery,Desserts",Bengaluru,Marathahalli,Bakery,Good,3.5,8
RICE BAR,500,"North Indian,Biryani",Bengaluru,Kalyan Nagar,none,Average,3.0,21
The Hyderabad Chefs,600,"North Indian,Hyderabadi,Andhra,Chinese",Bengaluru,Whitefield,none,Average,2.8,63
The Charcoal Factory,600,"Burger,Pizza,Momos",Bengaluru,Koramangala 6th Block,Quick Bites,Baik,3.9,294
HSR Agarval Bhavan,400,"South Indian,Street Food,Fast Food,Desserts,Beverages",Bengaluru,HSR,Casual Dining,Average,3.1,71
Khan Saab Hotel,300,"North Indian,Biryani,Chinese",Bengaluru,Bommanahalli,Quick Bites,Average,3.2,26
Cafemoto,800,"Cafe,Continental,Italian,Burger",Bengaluru,Koramangala 5th Block,Café,Sangat Baik,4.0,204
Juicy Momos,250,"Tibetan,Momos",Bengaluru,Koramangala 5th Block,Quick Bites,Good,3.5,70
Dhaba Express,400,"Biryani,Fast Food,North Indian,Chinese",Bengaluru,HSR,none,Good,3.7,176
Shake The Shake,200,Juices,Bengaluru,Whitefield,Quick Bites,Not rated,-,-
El Salver,900,"North Indian,Chinese,South Indian",Bengaluru,BTM,Casual Dining,Good,3.9,77
Eat Food,400,"North Indian,Fast Food,Biryani,Beverages",Bengaluru,Indiranagar,none,Good,3.5,22
Bangarpet Chats Adda,200,"Street Food,Sandwich,Beverages",Bengaluru,Electronic City,Quick Bites,Average,3.4,5
Mamaji's,600,North Indian,Bengaluru,HBR Layout,Casual Dining,Good,3.6,41
Tasty Food,300,"North Indian,Chinese",Bengaluru,Whitefield,Quick Bites,Average,3.4,4
La Pasta,400,Fast Food,Bengaluru,Koramangala 6th Block,none,None,NEW,NEW
Frootality,400,"Healthy Food,Beverages",Bengaluru,Indiranagar,Beverage Shop,Very Good,4.0,214
Bun Town,500,"Cafe,Bakery",Bengaluru,Koramangala 5th Block,Café,Good,3.8,22
Matka,700,"North Indian,Biryani",Bengaluru,HSR,Casual Dining,Good,3.5,28
Sultan's Biryani,700,"Biryani,North Indian",Bengaluru,Kalyan Nagar,none,Average,2.9,39
Burger Man,300,"Burger,Fast Food",Bengaluru,Yeshwantpur,Quick Bites,Average,3.4,21
Biryani Mandra,500,"Seafood,Salad,North Indian,Biryani,Chinese",Bengaluru,Koramangala 1st Block,none,Good,3.8,70
Gobble Up Churros Cafe,400,"Beverages,Cafe,Desserts,Spanish,Bakery",Bengaluru,Ulsoor,Casual Dining,Good,3.8,39
Hotel Triloka,400,North Indian,Bengaluru,Whitefield,Quick Bites,Average,3.3,7
The Grilled & Fried,300,Fast Food,Bengaluru,Whitefield,Quick Bites,Average,3.4,140
Hotel Empark,800,"Chinese,North Indian,Arabian",Bengaluru,Wilson Garden,Casual Dining,Average,3.3,17
Soul Curry Restaurant,600,"Andhra,Chinese,North Indian,Biryani",Bengaluru,Electronic City,Casual Dining,Good,3.8,38
KAARA BY THE LAKE,750,"Cafe,Italian,Coffee",Bengaluru,Ulsoor,Café,Very Good,4.1,66
Desserted,700,"Cafe,Bakery,Desserts",Bengaluru,Vasanth Nagar,Café,Very Good,4.1,735
K.G.N Kabbab Corner,500,"North Indian,Kebab",Bengaluru,Whitefield,Quick Bites,Very Good,4.0,94
Have More,700,North Indian,Bengaluru,New BEL Road,Casual Dining,Good,3.9,516
Forage,1500,"Healthy Food,Beverages,European,Salad",Bengaluru,Indiranagar,Casual Dining,Very Good,4.2,220
Star Food County,300,Fast Food,Bengaluru,Sanjay Nagar,Kiosk,Good,3.7,21
Raichur Biryani House,400,"Biryani,North Indian,Chinese",Bengaluru,HSR,Quick Bites,Good,3.8,289
Ambur Hot Dum Biryani,150,Biryani,Bengaluru,Old Airport Road,Quick Bites,Average,3.1,52
Pimento,400,"Chinese,Fast Food,Italian",Bengaluru,Electronic City,Quick Bites,Good,3.8,100
Happy Chopsticks,300,"Chinese,Fast Food",Bengaluru,Rajarajeshwari Nagar,Quick Bites,Very Good,4.1,253
I A' m Hangry,400,"Bengali,North Indian,Chinese",Bengaluru,Global Village-- Mysore Road,Quick Bites,Good,3.9,95
The Big Bellyz,300,"Fast Food,Beverages,Momos",Bengaluru,Malleshwaram,Quick Bites,Very Good,4.0,111
Kerala Tiffin,300,Kerala,Bengaluru,Whitefield,none,Very Good,4.0,175
Chatpatlal Sweets & Snacks,200,"Street Food,Mithai,North Indian,Beverages,Desserts",Bengaluru,Marathahalli,Quick Bites,Very Good,4.1,364
Parathe Wali Gali,250,"North Indian,Chinese",Bengaluru,Electronic City,Quick Bites,Good,3.7,352
Kerala Mess Upahar,300,"Kerala,Biryani,South Indian",Bengaluru,Bellandur,Mess,Good,3.8,129
Nanda's,650,"Biryani,Andhra,North Indian,Chinese,Seafood",Bengaluru,Marathahalli,Casual Dining,Good,3.7,205
Hotel Brundavan,250,"Andhra,North Indian,Chinese,South Indian",Bengaluru,Bannerghatta Road,Quick Bites,Good,3.8,51
7th Heaven,300,"Bakery,Desserts",Bengaluru,New BEL Road,Bakery,Good,3.7,26
Just Homely,300,North Indian,Bengaluru,Electronic City,none,Good,3.8,54
Shree K Foods,300,"Street Food,North Indian",Bengaluru,Bellandur,Quick Bites,Good,3.5,11
Swathi Ring View Restaurant,1000,"Andhra,Chinese,North Indian,Seafood,Biryani",Bengaluru,Nagarbhavi,Casual Dining,Average,3.3,390
